episode_reward_mean,timesteps_total
17.620296478271484,2048
3.442580223083496,6144
1.318880558013916,10240
1.2337878942489624,14336
0.5059843063354492,18432
0.33531999588012695,22528
0.29254060983657837,26624
-0.13180983066558838,30720
-0.13614597916603088,34816
-0.23779161274433136,38912
0.14704617857933044,43008
-0.17549937963485718,47104
-0.3017008304595947,51200
0.04839827120304108,55296
-0.03137682378292084,59392
-0.09532994031906128,63488
-0.4373666048049927,67584
-0.13432654738426208,71680
-0.5433557629585266,75776
-0.3332512378692627,79872
-0.526819109916687,83968
-0.47635525465011597,88064
-0.4603154957294464,92160
-0.4845943748950958,96256
-0.931774377822876,100352
-0.4176853895187378,104448
-0.48090922832489014,108544
-0.34493833780288696,112640
-0.8647549152374268,116736
-0.5439531803131104,120832
-0.6738153696060181,124928
-0.6069930791854858,129024
-0.9150623679161072,133120
-0.9005271792411804,137216
-0.7321812510490417,141312
-1.0661661624908447,145408
-0.7592505812644958,149504
-1.2934589385986328,153600
-1.3862898349761963,157696
-0.9491700530052185,161792
-1.0676807165145874,165888
-0.7609056830406189,169984
-1.2270616292953491,174080
-0.864580512046814,178176
-0.6840190887451172,182272
-0.5429149866104126,186368
-1.200051188468933,190464
-1.168135404586792,194560
-1.6149014234542847,198656
-0.819690465927124,202752
-1.1494576930999756,206848
-0.8104041814804077,210944
