episode_reward_mean,timesteps_total
99.1287612915039,2048
92.92715454101562,6144
83.80641174316406,10240
147.78689575195312,14336
1006.439208984375,18432
1011.5930786132812,22528
1015.74853515625,26624
1010.474365234375,30720
1012.680908203125,34816
1013.117431640625,38912
1015.1561889648438,43008
1014.2259521484375,47104
1014.0441284179688,51200
1011.70166015625,55296
1014.9507446289062,59392
1014.390380859375,63488
1013.8552856445312,67584
1014.5078125,71680
1013.6002807617188,75776
1017.0302734375,79872
1015.2275390625,83968
1014.750732421875,88064
1016.30615234375,92160
1015.9276733398438,96256
1016.8001708984375,100352
1016.2957153320312,104448
1016.8093872070312,108544
1019.9534912109375,112640
1017.2761840820312,116736
1019.9569091796875,120832
1018.5531005859375,124928
1019.7020263671875,129024
1020.591064453125,133120
1019.421142578125,137216
1019.18408203125,141312
1020.1665649414062,145408
1020.130859375,149504
1018.9718627929688,153600
1021.4135131835938,157696
1019.9671630859375,161792
1021.9512329101562,165888
1023.423095703125,169984
1024.6781005859375,174080
1026.4862060546875,178176
1024.4981689453125,182272
1025.314208984375,186368
1024.6104736328125,190464
1024.92626953125,194560
1025.51220703125,198656
1026.5906982421875,202752
1029.206787109375,206848
1026.1092529296875,210944
1024.6832275390625,215040
1024.1820068359375,219136
1026.9454345703125,223232
1028.7894287109375,227328
193.18238830566406,231424
